team_id,setting,display_label,solution_id,cost,mean_performance,mean_job_satisfaction,policy__Prehire Tests,policy__Structured Interviews,policy__Employee Participation,policy__Complaint Procedure,policy__Group Bonuses,policy__Individual Bonuses,policy__Performance Evaluation,policy__Goals Communication,policy__Suggestion Adoption,policy__Performance Pay,policy__Internal Promotion,policy__Job Autonomy,policy__Selective Hiring,policy__Pay Competitiveness,policy__Job Training
5100,redesign,Initial,Initial,0.0,5.191499177195127,5.499026061593863,7.0,6.0,6.0,4.0,3.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0
5100,redesign,Min cost frontier,R5100_S1,0.0,5.191499177195127,5.499026061593863,7.0,6.0,6.0,4.0,3.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0
5100,redesign,Min cost ≥6/≥6,R5100_S67,9.0,6.071270934279897,6.016342540212053,2.0,7.0,6.0,6.0,3.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0
5100,redesign,Min cost ≥6.5/≥6.5,R5100_S135,18.0,6.541354529459749,6.566207206352193,1.0,7.0,6.0,7.0,3.0,4.0,7.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0
5100,redesign,Min cost ≥7/≥7,R5100_S491,39.0,7.0,7.0,1.0,7.0,6.0,7.0,3.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,2.0,3.0
5100,redesign,"Max performance
(lowest cost tie)",R5100_S491,39.0,7.0,7.0,1.0,7.0,6.0,7.0,3.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,2.0,3.0
5100,redesign,"Max satisfaction
(lowest cost tie)",R5100_S244,26.0,6.318015833952332,7.0,1.0,7.0,6.0,4.0,3.0,4.0,7.0,1.0,5.0,5.0,6.0,5.0,6.0,2.0,3.0
5100,redesign,Balanced/knee,R5100_S135,18.0,6.541354529459749,6.566207206352193,1.0,7.0,6.0,7.0,3.0,4.0,7.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0
5100,design,Observed benchmark,Observed benchmark,135.0,4.444444444444444,5.665555555555557,7.0,6.0,6.0,4.0,3.0,4.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0
5100,design,Min cost frontier,D5100_S1,75.0,6.18888888888889,5.147555555555556,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0
5100,design,Min cost ≥6/≥6,D5100_S5,108.0,6.520833333333333,6.220833333333332,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0
5100,design,Min cost ≥6.5/≥6.5,D5100_S10,118.0,6.770833333333333,6.509444444444445,2.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0
5100,design,Closest to 7/7,D5100_S15,142.0,7.0,6.704444444444445,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0
5100,design,"Max performance
(lowest cost tie)",D5100_S11,120.0,7.0,6.371111111111112,2.0,6.0,6.0,6.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0
5100,design,"Max satisfaction
(lowest cost tie)",D5100_S15,142.0,7.0,6.704444444444445,2.0,6.0,6.0,6.0,3.0,4.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0
5100,design,Balanced/knee,D5100_S6,110.0,6.6319444444444455,6.481944444444445,2.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0
7270,redesign,Initial,Initial,0.0,5.232465125177023,5.704773211255359,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0
7270,redesign,Min cost frontier,R7270_S1,0.0,5.232465125177023,5.704773211255359,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0
7270,redesign,Min cost ≥6/≥6,R7270_S63,8.0,6.081225769778122,6.039758910408647,3.0,6.0,5.0,7.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0
7270,redesign,Min cost ≥6.5/≥6.5,R7270_S124,14.0,6.537885325266922,6.551017263843971,1.0,7.0,5.0,7.0,1.0,1.0,7.0,1.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0
7270,redesign,Min cost ≥7/≥7,R7270_S449,35.0,7.0,7.0,1.0,7.0,5.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,6.0,5.0,1.0,4.0
7270,redesign,"Max performance
(lowest cost tie)",R7270_S449,35.0,7.0,7.0,1.0,7.0,5.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,6.0,5.0,1.0,4.0
7270,redesign,"Max satisfaction
(lowest cost tie)",R7270_S221,21.0,6.1412194816537395,7.0,1.0,7.0,5.0,2.0,1.0,1.0,7.0,1.0,4.0,2.0,7.0,6.0,6.0,1.0,4.0
7270,redesign,Balanced/knee,R7270_S124,14.0,6.537885325266922,6.551017263843971,1.0,7.0,5.0,7.0,1.0,1.0,7.0,1.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0
7270,design,Observed benchmark,Observed benchmark,106.0,5.763888888888889,5.480555555555555,4.0,4.0,5.0,2.0,1.0,1.0,7.0,4.0,4.0,2.0,7.0,6.0,2.0,1.0,4.0
7270,design,Min cost frontier,D7270_S1,75.0,6.368055555555556,5.313888888888889,1.0,7.0,4.0,6.0,1.0,1.0,6.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0
7270,design,Min cost ≥6/≥6,D7270_S4,108.0,6.291666666666667,6.276666666666666,2.0,5.0,5.0,5.0,2.0,4.0,6.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0
7270,design,Min cost ≥6.5/≥6.5,D7270_S7,112.0,6.866666666666667,6.622,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0
7270,design,Closest to 7/7,D7270_S10,133.0,6.875,6.7775,2.0,6.0,6.0,5.0,3.0,4.0,7.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0
7270,design,"Max performance
(lowest cost tie)",D7270_S9,121.0,6.951388888888889,6.240555555555556,2.0,4.0,5.0,6.0,2.0,4.0,6.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0
7270,design,"Max satisfaction
(lowest cost tie)",D7270_S10,133.0,6.875,6.7775,2.0,6.0,6.0,5.0,3.0,4.0,7.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0
7270,design,Balanced/knee,D7270_S7,112.0,6.866666666666667,6.622,3.0,7.0,6.0,2.0,5.0,5.0,7.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0
